epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s,fsq_train_total,train_recon,train_unif,fsq_val_total,val_recon,val_unif,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_ppl_pct,val_code_usage_pct,val_code_ppl_pct
56,2.436573,2.436573,0.4155,0.7375,0.5665,0.6408,2.241351,2.241351,0.4493,0.5129,0.6293,0.5652,-0.1952,3.0e-03,199.2,4.282171,4.264152,1.801883e-02,4.182271,4.163290,1.898091e-02,-0.0999,9.999999e-01,4.644495e-02,7.4e-04,100.00,67.09,100.00,64.28
57,2.421422,2.421422,0.4174,0.7394,0.5810,0.6507,2.215136,2.215136,0.4541,0.3974,0.7463,0.5186,-0.2063,2.9e-03,198.8,4.276778,4.258143,1.863433e-02,4.008456,3.989908,1.854797e-02,-0.2683,9.999999e-01,4.736437e-02,7.3e-04,100.00,67.16,100.00,65.46
58,2.401837,2.401837,0.4220,0.7406,0.5881,0.6556,2.242699,2.242699,0.4493,0.4279,0.6732,0.5232,-0.1591,2.9e-03,199.0,4.263474,4.244050,1.942392e-02,4.052289,4.028516,2.377267e-02,-0.2112,9.999999e-01,4.608253e-02,7.2e-04,100.00,65.66,100.00,60.75
59,2.424251,2.424251,0.4169,0.7574,0.5904,0.6636,2.300211,2.300211,0.4362,0.3707,0.7976,0.5062,-0.1240,2.8e-03,198.9,4.220630,4.200797,1.983225e-02,4.070176,4.053668,1.650802e-02,-0.1505,9.999999e-01,4.647589e-02,7.1e-04,100.00,65.51,100.00,67.08
60,2.423285,2.423285,0.4160,0.7513,0.6071,0.6715,2.290825,2.290825,0.4398,0.5508,0.5951,0.5721,-0.1325,2.8e-03,198.9,4.204608,4.185089,1.951829e-02,3.997260,3.980081,1.717900e-02,-0.2073,9.999999e-01,4.612321e-02,7.0e-04,100.00,65.55,100.00,66.83
61,2.421448,2.421448,0.4157,0.7557,0.6139,0.6775,2.316459,2.316459,0.4355,0.4403,0.7463,0.5538,-0.1050,2.8e-03,198.8,4.205703,4.186262,1.944054e-02,4.105242,4.081312,2.393012e-02,-0.1005,9.999999e-01,4.601465e-02,6.9e-04,100.00,65.12,100.00,60.72
62,2.460741,2.460741,0.4079,0.7584,0.6093,0.6757,2.322943,2.322943,0.4310,0.3582,0.7976,0.4943,-0.1378,2.7e-03,199.6,4.227180,4.206945,2.023553e-02,4.391557,4.374168,1.738880e-02,0.1644,9.999999e-01,4.654172e-02,6.8e-04,100.00,64.99,100.00,66.84
63,2.552779,2.552779,0.3863,0.7559,0.6023,0.6704,2.408753,2.408753,0.4055,0.3280,0.8561,0.4743,-0.1440,2.7e-03,198.9,4.349630,4.329031,2.059928e-02,4.186303,4.165850,2.045297e-02,-0.1633,9.999999e-01,4.912205e-02,6.7e-04,100.00,65.43,100.00,64.64
64,2.681010,2.681010,0.3562,0.7336,0.5605,0.6355,2.549654,2.549654,0.3740,0.4418,0.6756,0.5342,-0.1314,2.6e-03,198.9,4.710708,4.689912,2.079624e-02,4.502563,4.480204,2.235830e-02,-0.2081,9.999999e-01,5.326469e-02,6.6e-04,100.00,67.44,100.00,66.21
65,2.629521,2.629521,0.3673,0.7279,0.5423,0.6215,2.507117,2.507117,0.3850,0.4364,0.6780,0.5310,-0.1224,2.6e-03,198.9,4.796590,4.776126,2.046361e-02,4.636433,4.613492,2.294069e-02,-0.1602,9.999999e-01,5.512007e-02,6.5e-04,100.00,69.33,100.00,65.44
66,2.613917,2.613917,0.3723,0.7202,0.5349,0.6139,2.378225,2.378225,0.4123,0.3629,0.7780,0.4950,-0.2357,2.6e-03,198.8,4.904839,4.885577,1.926206e-02,4.525229,4.501249,2.398013e-02,-0.3796,9.999999e-01,5.097380e-02,6.4e-04,100.00,70.46,100.00,62.50
67,2.439428,2.439428,0.4122,0.7390,0.5618,0.6383,2.264727,2.264727,0.4406,0.4746,0.7073,0.5681,-0.1747,2.5e-03,198.9,4.798653,4.774541,2.411172e-02,4.846190,4.814849,3.134169e-02,0.0475,9.999999e-01,4.716666e-02,6.3e-04,100.00,61.15,100.00,53.67
68,2.368777,2.368777,0.4263,0.7409,0.5654,0.6413,2.104333,2.104333,0.4765,0.3910,0.7659,0.5177,-0.2644,2.5e-03,198.8,4.838323,4.812012,2.631085e-02,4.552041,4.523820,2.822101e-02,-0.2863,9.999999e-01,4.965056e-02,6.2e-04,100.00,58.83,100.00,55.60
69,2.283535,2.283535,0.4439,0.7340,0.5664,0.6394,2.148357,2.148357,0.4662,0.4188,0.7488,0.5372,-0.1352,2.4e-03,199.6,4.739831,4.714187,2.564323e-02,4.453924,4.431150,2.277414e-02,-0.2859,9.999999e-01,4.899896e-02,6.1e-04,100.00,59.30,100.00,62.36
70,2.300767,2.300767,0.4390,0.7500,0.5897,0.6603,2.157479,2.157479,0.4654,0.4578,0.7805,0.5771,-0.1433,2.4e-03,198.9,4.750127,4.726130,2.399664e-02,4.405902,4.384568,2.133348e-02,-0.3442,9.999999e-01,4.700552e-02,6.0e-04,100.00,60.98,100.00,61.91
71,2.327214,2.327214,0.4334,0.7573,0.6026,0.6711,2.153034,2.153034,0.4616,0.4378,0.7732,0.5591,-0.1742,2.4e-03,198.8,4.736011,4.713313,2.269852e-02,4.610758,4.587190,2.356821e-02,-0.1253,9.999999e-01,4.669050e-02,5.9e-04,100.00,62.11,100.00,58.51
72,2.345609,2.345609,0.4286,0.7488,0.5933,0.6621,2.158298,2.158298,0.4673,0.4130,0.7927,0.5430,-0.1873,2.3e-03,198.9,4.760207,4.738467,2.173985e-02,4.425443,4.402843,2.260002e-02,-0.3348,9.999999e-01,4.503532e-02,5.8e-04,100.00,63.11,100.00,62.42
73,2.318218,2.318218,0.4357,0.7530,0.6002,0.6680,2.161258,2.161258,0.4640,0.4496,0.7829,0.5712,-0.1570,2.3e-03,198.8,4.759067,4.737345,2.172209e-02,4.772996,4.749979,2.301678e-02,0.0139,9.999999e-01,4.707235e-02,5.7e-04,100.00,63.38,100.00,61.33
74,2.367323,2.367323,0.4250,0.7573,0.6117,0.6768,2.294777,2.294777,0.4353,0.4331,0.6951,0.5337,-0.0725,2.2e-03,198.9,4.850706,4.830054,2.065164e-02,4.917716,4.895274,2.244150e-02,0.0670,9.999999e-01,4.526239e-02,5.6e-04,100.00,64.88,100.00,62.58
75,2.326979,2.326979,0.4351,0.7510,0.5942,0.6635,2.118816,2.118816,0.4738,0.4519,0.7902,0.5750,-0.2082,2.2e-03,199.8,4.819789,4.798915,2.087390e-02,4.568963,4.544291,2.467232e-02,-0.2508,9.999999e-01,4.464882e-02,5.5e-04,100.00,64.04,100.00,59.48
76,2.289035,2.289035,0.4431,0.7580,0.6050,0.6729,2.105750,2.105750,0.4799,0.4729,0.7878,0.5910,-0.1833,2.2e-03,198.6,4.841133,4.817879,2.325342e-02,4.493557,4.465657,2.789990e-02,-0.3476,9.999999e-01,4.713731e-02,5.4e-04,100.00,60.64,100.00,55.13
77,2.252969,2.252969,0.4529,0.7555,0.6198,0.6809,2.057020,2.057020,0.4899,0.4212,0.7951,0.5507,-0.1959,2.1e-03,198.6,4.732802,4.706871,2.593116e-02,4.579026,4.549880,2.914577e-02,-0.1538,9.999999e-01,4.391660e-02,5.3e-04,100.00,58.18,100.00,53.19
78,2.203879,2.203879,0.4635,0.7533,0.6175,0.6787,2.065202,2.065202,0.4888,0.5361,0.6512,0.5881,-0.1387,2.1e-03,198.9,4.761133,4.735102,2.603135e-02,4.862512,4.836497,2.601464e-02,0.1014,9.999999e-01,4.291542e-02,5.2e-04,100.00,57.52,100.00,53.74
79,2.208064,2.208064,0.4604,0.7702,0.6459,0.7026,2.069064,2.069064,0.4831,0.4761,0.7049,0.5683,-0.1390,2.0e-03,198.9,4.769150,4.743549,2.560110e-02,4.659105,4.631227,2.787723e-02,-0.1100,9.999999e-01,4.493509e-02,5.1e-04,100.00,58.45,100.00,56.40
80,2.225019,2.225019,0.4543,0.7606,0.6189,0.6825,1.989717,1.989717,0.5015,0.4331,0.7976,0.5614,-0.2353,2.0e-03,198.8,4.743773,4.719112,2.466105e-02,4.708728,4.676898,3.182944e-02,-0.0350,9.999999e-01,4.199480e-02,5.0e-04,100.00,58.81,100.00,46.14
81,2.230636,2.230636,0.4533,0.7566,0.6234,0.6836,2.165635,2.165635,0.4636,0.6014,0.6366,0.6185,-0.0650,2.0e-03,199.6,4.759311,4.736108,2.320349e-02,4.690004,4.672686,1.731787e-02,-0.0693,9.999999e-01,4.266345e-02,4.9e-04,100.00,60.48,100.00,66.39
