epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
105,2.920182,2.570282,0.2760,0.8587,0.7561,0.8041,0.3499,2.786213,2.472986,0.2963,0.6129,0.8263,0.7038,0.3132,-0.1340,2.2e-03,162.0
106,2.932172,2.582530,0.2740,0.8576,0.7278,0.7874,0.3496,2.794020,2.473651,0.2964,0.6206,0.8171,0.7054,0.3204,-0.1382,2.2e-03,161.4
107,2.924433,2.576582,0.2750,0.8615,0.7344,0.7929,0.3479,2.829747,2.494631,0.2919,0.6425,0.7707,0.7008,0.3351,-0.0947,2.1e-03,161.9
108,3.232322,2.805720,0.2412,0.7821,0.5662,0.6569,0.4266,3.011997,2.666118,0.2619,0.5519,0.6561,0.5995,0.3459,-0.2203,2.1e-03,161.6
109,3.125063,2.766861,0.2440,0.8104,0.6250,0.7057,0.3582,3.016870,2.645017,0.2655,0.5086,0.6751,0.5802,0.3719,-0.1082,2.1e-03,161.9
110,3.099713,2.737512,0.2485,0.8184,0.6385,0.7174,0.3622,2.893937,2.559754,0.2804,0.6907,0.7093,0.6999,0.3342,-0.2058,2.0e-03,161.4
111,3.067413,2.714141,0.2522,0.8374,0.6642,0.7408,0.3533,2.867076,2.539796,0.2834,0.6019,0.7951,0.6852,0.3273,-0.2003,2.0e-03,161.9
112,3.042202,2.691653,0.2558,0.8348,0.6930,0.7573,0.3505,2.908189,2.569861,0.2784,0.6521,0.7478,0.6967,0.3383,-0.1340,2.0e-03,161.4
113,3.052552,2.696397,0.2550,0.8380,0.6936,0.7590,0.3562,2.891261,2.556417,0.2807,0.6242,0.7746,0.6913,0.3348,-0.1613,2.0e-03,161.9
114,3.040536,2.687028,0.2565,0.8411,0.6857,0.7555,0.3535,2.887774,2.548477,0.2821,0.6277,0.7659,0.6900,0.3393,-0.1528,1.9e-03,161.4
115,3.033138,2.679072,0.2578,0.8397,0.6830,0.7533,0.3541,2.864447,2.536460,0.2841,0.6589,0.7405,0.6973,0.3280,-0.1687,1.9e-03,161.9
116,3.011155,2.663344,0.2604,0.8466,0.7027,0.7680,0.3478,2.866690,2.539975,0.2842,0.6326,0.7576,0.6895,0.3267,-0.1445,1.9e-03,161.4
117,2.990900,2.644952,0.2634,0.8583,0.7204,0.7833,0.3459,2.854532,2.531998,0.2850,0.5886,0.8083,0.6812,0.3225,-0.1364,1.8e-03,161.9
118,2.989381,2.643809,0.2636,0.8547,0.7225,0.7831,0.3456,2.843955,2.522258,0.2867,0.6306,0.7810,0.6978,0.3217,-0.1454,1.8e-03,161.4
119,2.971966,2.630016,0.2660,0.8565,0.7232,0.7842,0.3419,2.863444,2.530959,0.2851,0.6284,0.7878,0.6991,0.3325,-0.1085,1.8e-03,161.9
120,2.994177,2.649241,0.2628,0.8562,0.7255,0.7854,0.3449,2.869825,2.539445,0.2834,0.5217,0.8454,0.6452,0.3304,-0.1244,1.8e-03,161.5
121,2.973960,2.631760,0.2657,0.8559,0.7287,0.7872,0.3422,2.849725,2.523799,0.2876,0.7147,0.7380,0.7262,0.3259,-0.1242,1.7e-03,161.9
122,2.963664,2.623880,0.2671,0.8601,0.7387,0.7948,0.3398,2.900267,2.559783,0.2806,0.7060,0.7273,0.7165,0.3405,-0.0634,1.7e-03,161.4
123,2.958646,2.620259,0.2676,0.8548,0.7353,0.7906,0.3384,2.907326,2.565400,0.2798,0.6975,0.7400,0.7181,0.3419,-0.0513,1.7e-03,161.9
124,2.943763,2.609103,0.2694,0.8596,0.7421,0.7965,0.3347,2.865348,2.533209,0.2849,0.6822,0.7361,0.7081,0.3321,-0.0784,1.7e-03,161.4
125,2.951473,2.616351,0.2681,0.8580,0.7359,0.7923,0.3351,2.874538,2.540195,0.2850,0.6734,0.7615,0.7147,0.3343,-0.0769,1.6e-03,161.8
126,2.961545,2.623235,0.2671,0.8626,0.7387,0.7959,0.3383,2.848814,2.525908,0.2863,0.5852,0.8210,0.6833,0.3229,-0.1127,1.6e-03,161.4
127,2.955938,2.618301,0.2678,0.8584,0.7356,0.7923,0.3376,2.868203,2.534691,0.2852,0.6427,0.7878,0.7079,0.3335,-0.0877,1.6e-03,161.8
128,2.941971,2.606693,0.2700,0.8609,0.7452,0.7989,0.3353,2.881266,2.538110,0.2834,0.7241,0.7195,0.7218,0.3432,-0.0607,1.6e-03,161.4
129,2.931399,2.596763,0.2716,0.8648,0.7516,0.8043,0.3346,2.860464,2.534200,0.2845,0.6101,0.8098,0.6959,0.3263,-0.0709,1.5e-03,161.9
130,2.930310,2.597887,0.2714,0.8637,0.7416,0.7980,0.3324,2.844909,2.520935,0.2873,0.6987,0.7522,0.7245,0.3240,-0.0854,1.5e-03,161.4
131,2.915826,2.586076,0.2736,0.8660,0.7541,0.8062,0.3298,2.868697,2.533800,0.2850,0.7049,0.7341,0.7192,0.3349,-0.0471,1.5e-03,161.8
132,2.912865,2.583194,0.2740,0.8655,0.7585,0.8085,0.3297,2.848977,2.526169,0.2865,0.6300,0.7990,0.7045,0.3228,-0.0639,1.4e-03,161.6
133,2.910066,2.578371,0.2748,0.8681,0.7605,0.8107,0.3317,2.853275,2.527174,0.2863,0.7195,0.7546,0.7367,0.3261,-0.0568,1.4e-03,161.9
134,2.911611,2.578959,0.2748,0.8675,0.7520,0.8056,0.3327,2.852058,2.522702,0.2864,0.6377,0.7961,0.7082,0.3294,-0.0596,1.4e-03,161.4
135,2.907592,2.577618,0.2749,0.8756,0.7660,0.8171,0.3300,2.849702,2.524819,0.2866,0.6640,0.7780,0.7165,0.3249,-0.0579,1.4e-03,161.9
136,2.910231,2.578544,0.2748,0.8724,0.7557,0.8099,0.3317,2.851390,2.526731,0.2871,0.6427,0.8010,0.7131,0.3247,-0.0588,1.4e-03,161.4
137,2.913702,2.581036,0.2745,0.8718,0.7535,0.8083,0.3327,2.835664,2.512683,0.2892,0.6612,0.7922,0.7208,0.3230,-0.0780,1.3e-03,161.9
138,2.914392,2.574720,0.2754,0.8683,0.7552,0.8078,0.3397,2.863468,2.526066,0.2875,0.6688,0.7683,0.7151,0.3374,-0.0509,1.3e-03,161.4
139,2.920977,2.575308,0.2754,0.8638,0.7531,0.8047,0.3457,2.895739,2.550990,0.2816,0.7391,0.7185,0.7287,0.3447,-0.0252,1.3e-03,161.9
140,2.902540,2.568675,0.2762,0.8702,0.7489,0.8050,0.3339,2.916287,2.562226,0.2796,0.7281,0.7444,0.7361,0.3541,0.0137,1.3e-03,161.4
141,2.890106,2.559561,0.2781,0.8685,0.7642,0.8130,0.3305,2.847664,2.519544,0.2875,0.6957,0.7751,0.7333,0.3281,-0.0424,1.2e-03,161.8
142,2.887885,2.559278,0.2781,0.8717,0.7670,0.8160,0.3286,2.911788,2.562118,0.2794,0.7107,0.7561,0.7327,0.3497,0.0239,1.2e-03,161.4
143,2.888772,2.559177,0.2781,0.8735,0.7725,0.8199,0.3296,2.931339,2.578369,0.2775,0.7196,0.7385,0.7289,0.3530,0.0426,1.2e-03,161.9
144,2.895873,2.564678,0.2771,0.8714,0.7606,0.8122,0.3312,2.899928,2.558365,0.2797,0.7326,0.7283,0.7304,0.3416,0.0041,1.2e-03,161.6
145,2.898590,2.563860,0.2773,0.8692,0.7586,0.8101,0.3347,2.889777,2.545424,0.2830,0.6905,0.7737,0.7297,0.3444,-0.0088,1.1e-03,162.1
146,2.890548,2.559559,0.2781,0.8709,0.7652,0.8146,0.3310,2.898594,2.557493,0.2803,0.7106,0.7473,0.7285,0.3411,0.0080,1.1e-03,161.7
147,2.886527,2.555849,0.2788,0.8732,0.7686,0.8176,0.3307,2.873994,2.540259,0.2841,0.7077,0.7654,0.7354,0.3337,-0.0125,1.1e-03,162.3
148,2.890114,2.559593,0.2782,0.8745,0.7664,0.8169,0.3305,2.893977,2.555845,0.2802,0.7093,0.7546,0.7313,0.3381,0.0039,1.1e-03,161.5
149,2.888928,2.560844,0.2778,0.8695,0.7543,0.8079,0.3281,2.881730,2.545154,0.2832,0.7660,0.7122,0.7381,0.3366,-0.0072,1.1e-03,162.1
150,2.879327,2.552723,0.2795,0.8723,0.7656,0.8154,0.3266,2.871743,2.541976,0.2835,0.6885,0.7698,0.7269,0.3298,-0.0076,1.0e-03,161.5
151,2.875682,2.549966,0.2800,0.8740,0.7676,0.8173,0.3257,2.821211,2.503775,0.2912,0.6507,0.8034,0.7191,0.3174,-0.0545,1.0e-03,162.1
