epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s,fsq_train_total,train_recon,fsq_val_total,val_recon,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_ppl_pct,val_code_usage_pct,val_code_ppl_pct
85,2.368270,2.368270,0.3242,0.8266,0.6546,0.7306,2.216830,2.216830,0.3504,0.6543,0.7341,0.6920,-0.1514,6.6e-04,94.8,39.920217,39.920217,39.407347,39.407347,-0.5129,3.778800e+01,3.778800e+01,,100.00,84.20,100.00,79.53
86,2.355604,2.355604,0.3262,0.8326,0.6595,0.7360,2.299663,2.299663,0.3337,0.7605,0.6195,0.6828,-0.0559,6.5e-04,94.7,39.663123,39.663123,40.716462,40.716462,1.0533,4.427832e+01,4.427832e+01,,100.00,83.69,100.00,79.22
87,2.359516,2.359516,0.3259,0.8357,0.6589,0.7368,2.247788,2.247788,0.3468,0.6149,0.7634,0.6812,-0.1117,6.4e-04,94.8,39.655955,39.655955,39.961791,39.961791,0.3058,3.902001e+01,3.902001e+01,,100.00,83.85,100.00,82.42
88,2.350204,2.350204,0.3273,0.8280,0.6657,0.7380,2.274976,2.274976,0.3388,0.5865,0.7610,0.6624,-0.0752,6.3e-04,95.0,39.750120,39.750120,39.739937,39.739937,-0.0102,4.054165e+01,4.054165e+01,,100.00,83.65,100.00,80.69
89,2.364785,2.364785,0.3237,0.8261,0.6487,0.7268,2.320321,2.320321,0.3265,0.6004,0.7293,0.6586,-0.0445,6.3e-04,95.4,39.438908,39.438908,39.088623,39.088623,-0.3503,3.418929e+01,3.418929e+01,,100.00,83.83,100.00,78.88
90,2.361727,2.361727,0.3242,0.8382,0.6750,0.7478,2.258334,2.258334,0.3409,0.5022,0.8512,0.6317,-0.1034,6.2e-04,94.9,39.589718,39.589718,39.179246,39.179246,-0.4105,4.325096e+01,4.325096e+01,,100.00,84.02,100.00,80.73
91,2.373803,2.373803,0.3221,0.8347,0.6663,0.7411,2.257699,2.257699,0.3409,0.6176,0.7683,0.6848,-0.1161,6.1e-04,94.8,39.474018,39.474018,39.506182,39.506182,0.0322,3.894223e+01,3.894223e+01,,100.00,84.32,100.00,81.55
92,2.368047,2.368047,0.3232,0.8340,0.6631,0.7388,2.246586,2.246586,0.3438,0.6245,0.7585,0.6850,-0.1215,6.0e-04,94.9,39.535974,39.535974,38.905778,38.905778,-0.6302,4.496549e+01,4.496549e+01,,100.00,84.23,100.00,80.42
93,2.375271,2.375271,0.3210,0.8380,0.6747,0.7475,2.215785,2.215785,0.3502,0.6198,0.7317,0.6711,-0.1595,6.0e-04,94.9,39.313563,39.313563,38.370972,38.370972,-0.9426,3.850174e+01,3.850174e+01,,100.00,84.35,100.00,79.53
94,2.374600,2.374600,0.3214,0.8330,0.6688,0.7419,2.444362,2.444362,0.3062,0.5769,0.7683,0.6590,0.0698,5.9e-04,95.3,39.528180,39.528180,48.645419,48.645419,9.1172,4.251064e+01,4.251064e+01,,100.00,84.56,100.00,79.19
95,2.369682,2.369682,0.3230,0.8361,0.6650,0.7408,2.214253,2.214253,0.3508,0.6846,0.7146,0.6993,-0.1554,5.8e-04,94.8,39.319666,39.319666,37.977279,37.977279,-1.3424,3.876710e+01,3.876710e+01,,100.00,84.69,100.00,82.16
