epoch,train_total,train_loss,train_acc,train_death_acc,train_cpc,val_total,val_loss,val_acc,val_death_acc,val_cpc,gap,lr,time_s
157,2.340071,2.310937,0.3583,0.9676,0.2913,2.429936,2.405912,0.3316,0.9756,0.2402,0.0899,2.0e-04,116.2
158,2.339554,2.310617,0.3585,0.9687,0.2894,2.429351,2.404977,0.3317,0.9774,0.2437,0.0898,2.0e-04,116.2
159,2.335304,2.306422,0.3587,0.9680,0.2888,2.429406,2.405247,0.3322,0.9707,0.2416,0.0941,1.9e-04,115.8
160,2.339384,2.310481,0.3577,0.9676,0.2890,2.423758,2.399595,0.3323,0.9768,0.2416,0.0844,1.9e-04,116.2
161,2.331557,2.302675,0.3578,0.9669,0.2888,2.435163,2.411095,0.3316,0.9730,0.2407,0.1036,1.9e-04,116.3
162,2.341154,2.312285,0.3577,0.9679,0.2887,2.428715,2.404322,0.3320,0.9752,0.2439,0.0876,1.8e-04,115.8
163,2.335098,2.306185,0.3579,0.9669,0.2891,2.422514,2.398310,0.3331,0.9769,0.2420,0.0874,1.8e-04,116.3
164,2.329901,2.301179,0.3601,0.9685,0.2872,2.426381,2.402530,0.3329,0.9734,0.2385,0.0965,1.7e-04,116.2
165,2.322431,2.293515,0.3614,0.9680,0.2892,2.421862,2.397687,0.3338,0.9755,0.2418,0.0994,1.7e-04,115.8
166,2.328893,2.300062,0.3608,0.9683,0.2883,2.422697,2.398774,0.3334,0.9761,0.2392,0.0938,1.7e-04,116.1
167,2.323177,2.294487,0.3616,0.9682,0.2869,2.427952,2.403919,0.3325,0.9759,0.2403,0.1048,1.6e-04,116.3
168,2.328637,2.299884,0.3608,0.9680,0.2875,2.421164,2.396885,0.3339,0.9766,0.2428,0.0925,1.6e-04,116.0
169,2.331947,2.303279,0.3594,0.9678,0.2867,2.422360,2.398077,0.3341,0.9755,0.2428,0.0904,1.5e-04,116.4
170,2.324285,2.295558,0.3621,0.9688,0.2873,2.424905,2.400504,0.3338,0.9743,0.2440,0.1006,1.5e-04,116.3
171,2.325881,2.297104,0.3615,0.9682,0.2878,2.421505,2.397300,0.3346,0.9755,0.2420,0.0956,1.5e-04,115.9
172,2.331988,2.303274,0.3604,0.9684,0.2871,2.423544,2.399687,0.3344,0.9742,0.2386,0.0916,1.5e-04,116.2
173,2.314049,2.285344,0.3617,0.9681,0.2870,2.418267,2.394067,0.3344,0.9767,0.2420,0.1042,1.4e-04,116.3
174,2.311775,2.283134,0.3641,0.9684,0.2864,2.419461,2.395756,0.3339,0.9774,0.2370,0.1077,1.4e-04,115.8
175,2.319435,2.290887,0.3622,0.9685,0.2855,2.423452,2.399267,0.3344,0.9747,0.2419,0.1040,1.4e-04,116.3
176,2.320041,2.291549,0.3628,0.9690,0.2849,2.418880,2.394985,0.3345,0.9742,0.2389,0.0988,1.3e-04,115.8
177,2.316965,2.288355,0.3619,0.9687,0.2861,2.418276,2.394251,0.3347,0.9753,0.2402,0.1013,1.3e-04,116.3
178,2.321999,2.293315,0.3621,0.9683,0.2868,2.411365,2.387490,0.3357,0.9764,0.2387,0.0894,1.3e-04,116.2
179,2.309624,2.280957,0.3634,0.9690,0.2867,2.415625,2.392023,0.3353,0.9748,0.2360,0.1060,1.3e-04,115.9
180,2.320833,2.292241,0.3613,0.9682,0.2859,2.413339,2.389244,0.3353,0.9769,0.2409,0.0925,1.2e-04,116.2
181,2.314376,2.285917,0.3635,0.9681,0.2846,2.414628,2.390921,0.3346,0.9753,0.2371,0.1003,1.2e-04,116.3
182,2.318280,2.289757,0.3640,0.9697,0.2852,2.412654,2.388879,0.3357,0.9772,0.2377,0.0944,1.2e-04,115.8
183,2.314656,2.286103,0.3638,0.9692,0.2855,2.416038,2.392397,0.3349,0.9721,0.2364,0.1014,1.2e-04,116.3
184,2.314268,2.285803,0.3647,0.9693,0.2847,2.411495,2.387160,0.3359,0.9757,0.2433,0.0972,1.1e-04,116.2
185,2.306170,2.277667,0.3667,0.9696,0.2850,2.412966,2.389577,0.3353,0.9750,0.2339,0.1068,1.1e-04,115.9
186,2.312598,2.284142,0.3658,0.9694,0.2846,2.412230,2.388241,0.3353,0.9740,0.2399,0.0996,1.1e-04,116.2
187,2.302111,2.273725,0.3659,0.9690,0.2839,2.414125,2.390104,0.3358,0.9747,0.2402,0.1120,1.1e-04,116.3
188,2.317861,2.289495,0.3618,0.9681,0.2837,2.410431,2.387177,0.3357,0.9767,0.2325,0.0926,1.1e-04,115.8
189,2.306045,2.277632,0.3646,0.9683,0.2841,2.410459,2.386654,0.3368,0.9766,0.2381,0.1044,1.1e-04,116.3
190,2.305984,2.277600,0.3653,0.9691,0.2838,2.409354,2.385745,0.3365,0.9752,0.2361,0.1034,1.1e-04,116.2
191,2.302815,2.274394,0.3651,0.9687,0.2842,2.409994,2.386643,0.3370,0.9768,0.2335,0.1072,1.0e-04,115.9
192,2.306625,2.278289,0.3661,0.9688,0.2834,2.416672,2.392757,0.3357,0.9762,0.2391,0.1100,1.0e-04,116.2
193,2.297020,2.268690,0.3672,0.9690,0.2833,2.409828,2.386212,0.3372,0.9764,0.2362,0.1128,1.0e-04,116.3
194,2.308903,2.280609,0.3654,0.9686,0.2829,2.410571,2.386704,0.3368,0.9737,0.2387,0.1017,1.0e-04,115.8
195,2.308873,2.280515,0.3656,0.9692,0.2836,2.412610,2.388847,0.3352,0.9748,0.2376,0.1037,1.0e-04,116.3
196,2.307999,2.279695,0.3651,0.9691,0.2830,2.406487,2.382614,0.3368,0.9766,0.2387,0.0985,1.0e-04,116.2
197,2.307509,2.279197,0.3660,0.9694,0.2831,2.406364,2.382750,0.3365,0.9762,0.2361,0.0989,1.0e-04,115.9
198,2.301879,2.273572,0.3669,0.9687,0.2831,2.407450,2.383720,0.3372,0.9758,0.2373,0.1056,1.0e-04,116.2
199,2.298747,2.270465,0.3682,0.9696,0.2828,2.407023,2.383133,0.3362,0.9765,0.2389,0.1083,1.0e-04,115.9
200,2.306080,2.277729,0.3658,0.9700,0.2835,2.408628,2.384882,0.3366,0.9762,0.2375,0.1025,1.0e-04,116.2
