epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s
163,2.301010,2.301010,0.3353,0.9380,0.9086,0.9230,2.618831,2.618831,0.3008,0.6942,0.8946,0.7818,0.3178,2.2e-04,75.8
164,2.298244,2.298244,0.3358,0.9386,0.9052,0.9216,2.622339,2.622339,0.3009,0.6708,0.9005,0.7688,0.3241,2.1e-04,76.2
165,2.295456,2.295456,0.3363,0.9370,0.9061,0.9213,2.623097,2.623097,0.3010,0.6973,0.8932,0.7831,0.3276,2.0e-04,75.9
166,2.296510,2.296510,0.3361,0.9392,0.9049,0.9217,2.627545,2.627545,0.3007,0.6478,0.9171,0.7593,0.3310,1.9e-04,76.2
167,2.295298,2.295298,0.3365,0.9408,0.9077,0.9240,2.618237,2.618237,0.3015,0.6963,0.8990,0.7848,0.3229,1.8e-04,76.0
168,2.294498,2.294498,0.3365,0.9386,0.9073,0.9227,2.622751,2.622751,0.3010,0.6866,0.8976,0.7780,0.3283,1.8e-04,75.9
169,2.293120,2.293120,0.3366,0.9374,0.9083,0.9226,2.621375,2.621375,0.3014,0.7040,0.8912,0.7867,0.3283,1.7e-04,75.9
170,2.290867,2.290867,0.3373,0.9412,0.9071,0.9238,2.621723,2.621723,0.3015,0.6657,0.9102,0.7690,0.3309,1.6e-04,75.9
171,2.290057,2.290057,0.3375,0.9377,0.9058,0.9215,2.624444,2.624444,0.3014,0.6817,0.9059,0.7780,0.3344,1.5e-04,76.1
172,2.289562,2.289562,0.3377,0.9414,0.9097,0.9253,2.622770,2.622770,0.3012,0.6842,0.8971,0.7763,0.3332,1.5e-04,75.8
173,2.289037,2.289037,0.3376,0.9377,0.9040,0.9206,2.620680,2.620680,0.3019,0.6701,0.9015,0.7687,0.3316,1.4e-04,76.1
