iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
238,24.55,18.9551,22.9568,21.8273,0.2070,1.0e-04,,,10.1
239,24.98,19.3980,22.8341,21.6629,0.2091,1.0e-04,,,10.2
240,24.75,19.1684,23.3883,21.7907,0.2135,1.0e-04,24.50,0.42,10.1
241,24.63,19.0957,23.6490,22.0038,0.2100,1.0e-04,,,10.2
242,23.66,18.2188,23.2416,21.8749,0.2185,1.0e-04,,,10.1
243,25.58,19.9582,23.2318,21.6206,0.2173,1.0e-04,,,10.2
244,24.60,19.0629,23.4408,22.2359,0.2160,1.0e-04,,,10.2
245,24.59,19.0219,24.2611,22.0450,0.2185,1.0e-04,,,10.2
246,24.15,18.6809,23.3619,21.8222,0.2146,1.0e-04,,,10.1
247,23.94,18.4363,22.1874,21.9424,0.2156,1.0e-04,,,10.2
248,25.05,19.4293,23.9455,21.7870,0.2199,1.0e-04,,,10.2
249,26.35,20.6402,24.6115,21.8312,0.2194,1.0e-04,,,10.2
250,25.17,19.5848,23.0567,21.6084,0.2171,1.0e-04,24.34,0.41,10.2
251,26.46,20.7426,24.9021,21.8354,0.2237,1.0e-04,,,10.2
252,25.46,19.8281,24.2690,22.1923,0.2231,1.0e-04,,,10.2
253,23.77,18.3746,22.9479,21.8767,0.2272,1.0e-04,,,10.1
254,25.62,20.0566,23.5391,22.1379,0.2228,1.0e-04,,,10.2
255,24.21,18.7164,24.2468,22.0867,0.2243,1.0e-04,,,10.2
256,23.72,18.2824,22.5995,22.1533,0.2317,1.0e-04,,,10.2
257,24.30,18.8227,22.5739,22.0980,0.2370,1.0e-04,,,10.2
258,24.32,18.8418,22.9398,22.1354,0.2363,1.0e-04,,,10.2
259,24.37,18.8852,23.1352,22.2337,0.2339,1.0e-04,,,10.2
260,24.15,18.7309,23.3756,21.8188,0.2451,1.0e-04,24.56,0.39,10.2
261,24.96,19.3895,21.7866,21.8250,0.2400,1.0e-04,,,10.2
262,24.46,19.0012,22.4644,21.6022,0.2410,1.0e-04,,,10.2
263,25.52,19.9406,24.9168,21.9272,0.2375,1.0e-04,,,10.2
264,23.99,18.5242,24.9340,22.0837,0.2461,1.0e-04,,,10.2
265,24.32,18.8930,22.5426,21.8487,0.2523,1.0e-04,,,10.2
266,25.69,20.1371,22.9796,21.8557,0.2520,1.0e-04,,,10.2
267,24.97,19.4367,24.5303,22.0491,0.2516,1.0e-04,,,10.2
268,25.15,19.6266,23.3174,22.0718,0.2499,1.0e-04,,,10.2
269,24.15,18.7008,22.9383,22.2863,0.2500,1.0e-04,,,10.2
270,24.73,19.2406,24.2285,21.5574,0.2525,1.0e-04,24.52,0.39,10.2
271,25.13,19.5953,24.6777,21.8219,0.2365,1.0e-04,,,10.2
272,23.88,18.4707,22.8878,22.2616,0.2501,1.0e-04,,,10.1
