generation,best_fitness,mean_fitness,median_fitness,sigma,time_s
439,11.17,10.42,10.52,0.4317,16.5
440,10.08,9.44,9.48,0.4323,16.5
441,10.55,9.94,10.06,0.4331,16.5
442,10.86,9.98,10.02,0.4342,16.5
443,10.83,10.50,10.52,0.4352,16.5
444,10.38,9.95,10.03,0.4360,16.5
445,10.53,9.99,10.21,0.4371,16.5
446,10.44,9.87,10.07,0.4380,16.5
447,10.61,10.14,10.20,0.4382,16.5
448,9.75,8.94,9.09,0.4384,16.5
449,10.55,9.86,9.90,0.4386,16.5
450,10.78,9.75,9.88,0.4386,16.5
451,11.52,10.90,10.94,0.4387,16.5
452,10.98,10.35,10.52,0.4389,16.5
453,10.75,10.18,10.29,0.4388,16.5
454,10.28,9.53,9.77,0.4389,16.5
455,10.92,10.38,10.48,0.4389,16.5
456,10.88,10.27,10.48,0.4386,16.5
457,10.08,9.24,9.49,0.4389,16.5
458,10.36,9.80,9.85,0.4388,16.5
459,10.11,9.31,9.40,0.4391,16.7
460,10.64,9.88,10.34,0.4397,16.5
461,10.53,9.98,10.02,0.4402,16.5
462,10.06,9.18,9.23,0.4411,16.5
463,11.59,10.62,10.73,0.4421,16.5
464,10.08,9.31,9.40,0.4427,16.5
465,10.55,9.70,9.71,0.4430,16.5
466,9.94,9.40,9.51,0.4437,16.5
467,11.80,10.51,10.58,0.4440,16.5
468,11.33,10.43,10.64,0.4447,16.5
469,10.86,10.25,10.39,0.4456,16.5
470,9.89,9.34,9.31,0.4462,16.5
471,10.83,10.51,10.66,0.4471,16.5
472,11.06,10.54,10.70,0.4486,16.5
473,10.23,9.36,9.30,0.4502,16.5
474,10.70,10.29,10.41,0.4509,16.5
475,11.67,10.60,10.64,0.4520,16.5
476,12.23,11.33,11.38,0.4524,16.5
477,9.72,8.94,9.10,0.4529,16.5
478,10.23,9.38,9.38,0.4535,16.5
479,11.34,10.51,10.73,0.4538,16.5
480,10.23,9.69,9.80,0.4539,16.5
481,11.78,11.02,11.11,0.4535,16.5
482,11.27,10.58,10.70,0.4526,16.5
