epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
93,3.055217,2.542210,0.2815,0.8584,0.8002,0.8282,0.5130,2.895889,2.442432,0.3020,0.6694,0.8288,0.7406,0.4535,-0.1593,2.5e-03,172.9
94,3.006870,2.538064,0.2824,0.8591,0.8128,0.8353,0.4688,2.877091,2.441970,0.3028,0.5705,0.8878,0.6947,0.4351,-0.1298,2.5e-03,173.0
95,2.979989,2.535087,0.2830,0.8557,0.8116,0.8331,0.4449,2.893486,2.442533,0.3029,0.6083,0.8673,0.7151,0.4510,-0.0865,2.5e-03,173.7
96,2.988549,2.535028,0.2830,0.8551,0.8094,0.8316,0.4535,2.876671,2.443668,0.3026,0.6044,0.8727,0.7142,0.4330,-0.1119,2.4e-03,174.8
97,2.994495,2.535526,0.2829,0.8587,0.8142,0.8358,0.4590,2.862518,2.444624,0.3026,0.6388,0.8488,0.7289,0.4179,-0.1320,2.4e-03,173.5
98,2.975080,2.530791,0.2837,0.8594,0.8201,0.8393,0.4443,2.859691,2.437305,0.3026,0.6035,0.8663,0.7114,0.4224,-0.1154,2.4e-03,173.6
99,2.983090,2.529740,0.2839,0.8624,0.8139,0.8374,0.4533,2.884942,2.439395,0.3033,0.6176,0.8444,0.7134,0.4455,-0.0981,2.3e-03,173.6
100,2.993930,2.528771,0.2840,0.8596,0.8102,0.8342,0.4652,2.856301,2.438711,0.3034,0.6217,0.8610,0.7220,0.4176,-0.1376,2.3e-03,172.7
101,2.968317,2.524029,0.2850,0.8563,0.8160,0.8357,0.4443,2.861054,2.437218,0.3034,0.6425,0.8556,0.7339,0.4238,-0.1073,2.3e-03,173.9
102,2.964014,2.524006,0.2849,0.8633,0.8172,0.8396,0.4400,2.859616,2.437799,0.3041,0.5344,0.9020,0.6711,0.4218,-0.1044,2.3e-03,172.8
103,2.952159,2.519329,0.2859,0.8600,0.8184,0.8387,0.4328,2.886213,2.438425,0.3038,0.6781,0.8405,0.7506,0.4478,-0.0659,2.2e-03,172.9
104,2.967662,2.519556,0.2856,0.8641,0.8199,0.8414,0.4481,2.851899,2.441468,0.3035,0.6011,0.8878,0.7168,0.4104,-0.1158,2.2e-03,174.0
105,2.930054,2.516841,0.2862,0.8647,0.8232,0.8435,0.4132,2.810274,2.435183,0.3046,0.6464,0.8624,0.7390,0.3751,-0.1198,2.2e-03,174.7
106,2.902625,2.512499,0.2870,0.8644,0.8257,0.8446,0.3901,2.804566,2.434650,0.3053,0.6200,0.8683,0.7234,0.3699,-0.0981,2.2e-03,173.1
107,2.907292,2.511495,0.2871,0.8614,0.8196,0.8400,0.3958,2.837908,2.433163,0.3048,0.7123,0.8273,0.7655,0.4047,-0.0694,2.1e-03,173.7
108,2.910392,2.508846,0.2877,0.8605,0.8205,0.8400,0.4015,2.814157,2.429860,0.3056,0.6480,0.8585,0.7386,0.3843,-0.0962,2.1e-03,173.6
109,2.897772,2.507734,0.2878,0.8647,0.8213,0.8424,0.3900,2.804072,2.432848,0.3055,0.5820,0.8932,0.7048,0.3712,-0.0937,2.1e-03,173.5
110,2.891067,2.503898,0.2886,0.8628,0.8205,0.8411,0.3872,2.817631,2.441381,0.3041,0.6792,0.8395,0.7509,0.3762,-0.0734,2.0e-03,174.3
111,2.890251,2.501504,0.2890,0.8684,0.8286,0.8480,0.3887,2.812084,2.431772,0.3055,0.6434,0.8527,0.7334,0.3803,-0.0782,2.0e-03,173.6
112,2.890058,2.502191,0.2890,0.8654,0.8194,0.8418,0.3879,2.800941,2.436866,0.3056,0.6441,0.8546,0.7346,0.3641,-0.0891,2.0e-03,173.5
113,2.873308,2.497438,0.2897,0.8700,0.8271,0.8480,0.3759,2.790617,2.424740,0.3069,0.7036,0.8337,0.7631,0.3659,-0.0827,2.0e-03,173.0
114,2.876113,2.493850,0.2903,0.8630,0.8206,0.8413,0.3823,2.807835,2.431336,0.3054,0.6718,0.8439,0.7481,0.3765,-0.0683,1.9e-03,174.1
115,2.880715,2.494034,0.2903,0.8673,0.8310,0.8487,0.3867,2.795963,2.424580,0.3068,0.6572,0.8576,0.7441,0.3714,-0.0848,1.9e-03,173.0
116,2.871658,2.490610,0.2908,0.8690,0.8292,0.8487,0.3810,2.797585,2.429200,0.3069,0.6359,0.8698,0.7347,0.3684,-0.0741,1.9e-03,173.0
117,2.859110,2.487667,0.2914,0.8675,0.8304,0.8485,0.3714,2.792517,2.429788,0.3068,0.6116,0.8932,0.7260,0.3627,-0.0666,1.8e-03,173.0
118,2.854938,2.484491,0.2921,0.8707,0.8333,0.8516,0.3704,2.785576,2.427656,0.3070,0.6724,0.8571,0.7536,0.3579,-0.0694,1.8e-03,173.0
119,2.860138,2.485153,0.2919,0.8699,0.8296,0.8493,0.3750,2.789842,2.423886,0.3073,0.5959,0.8941,0.7152,0.3660,-0.0703,1.8e-03,174.2
120,2.858634,2.481571,0.2926,0.8687,0.8328,0.8504,0.3771,2.788262,2.429118,0.3071,0.6093,0.8902,0.7235,0.3591,-0.0704,1.8e-03,173.0
121,2.866725,2.480538,0.2928,0.8709,0.8316,0.8508,0.3862,2.789424,2.420714,0.3085,0.6781,0.8600,0.7583,0.3687,-0.0773,1.7e-03,172.8
122,2.869529,2.479224,0.2931,0.8710,0.8322,0.8512,0.3903,2.805372,2.430425,0.3069,0.6841,0.8410,0.7545,0.3749,-0.0642,1.7e-03,172.8
123,2.872109,2.476687,0.2936,0.8689,0.8340,0.8511,0.3954,2.807432,2.421459,0.3078,0.6492,0.8746,0.7452,0.3860,-0.0647,1.7e-03,173.9
124,2.872552,2.475732,0.2936,0.8666,0.8254,0.8455,0.3968,2.797177,2.422389,0.3085,0.6378,0.8737,0.7373,0.3748,-0.0754,1.7e-03,173.3
125,2.858146,2.472184,0.2943,0.8699,0.8310,0.8500,0.3860,2.784775,2.422988,0.3093,0.6603,0.8722,0.7516,0.3618,-0.0734,1.6e-03,173.1
126,2.858311,2.470449,0.2948,0.8742,0.8320,0.8526,0.3879,2.797519,2.419606,0.3084,0.6564,0.8693,0.7480,0.3779,-0.0608,1.6e-03,172.9
127,2.872504,2.469251,0.2948,0.8768,0.8322,0.8539,0.4033,2.811366,2.434231,0.3077,0.6786,0.8571,0.7575,0.3771,-0.0611,1.6e-03,173.4
128,2.852650,2.466986,0.2953,0.8721,0.8379,0.8546,0.3857,2.792888,2.425344,0.3083,0.6324,0.8863,0.7382,0.3675,-0.0598,1.6e-03,174.9
129,2.846057,2.464568,0.2957,0.8747,0.8356,0.8547,0.3815,2.787524,2.424086,0.3082,0.6043,0.8946,0.7213,0.3634,-0.0585,1.5e-03,173.0
130,2.843909,2.462919,0.2959,0.8734,0.8370,0.8548,0.3810,2.805400,2.417946,0.3090,0.6174,0.8951,0.7308,0.3875,-0.0385,1.5e-03,172.9
131,2.834284,2.460821,0.2965,0.8730,0.8397,0.8560,0.3735,2.785715,2.421301,0.3098,0.6111,0.8893,0.7244,0.3644,-0.0486,1.5e-03,173.3
132,2.834452,2.460172,0.2966,0.8737,0.8355,0.8542,0.3743,2.791012,2.420516,0.3092,0.6177,0.8844,0.7274,0.3705,-0.0434,1.4e-03,174.8
133,2.817943,2.453817,0.2978,0.8758,0.8441,0.8596,0.3641,2.774342,2.418848,0.3099,0.6927,0.8576,0.7663,0.3555,-0.0436,1.4e-03,173.6
134,2.824422,2.455138,0.2975,0.8734,0.8346,0.8535,0.3693,2.784601,2.421930,0.3093,0.5659,0.9132,0.6988,0.3627,-0.0398,1.4e-03,173.6
135,2.819802,2.452034,0.2982,0.8794,0.8423,0.8604,0.3678,2.771461,2.420377,0.3100,0.5877,0.9005,0.7112,0.3511,-0.0483,1.4e-03,173.6
136,2.814235,2.448901,0.2986,0.8784,0.8397,0.8586,0.3653,2.765815,2.423964,0.3093,0.6122,0.8902,0.7255,0.3419,-0.0484,1.4e-03,173.6
137,2.804923,2.446273,0.2991,0.8802,0.8427,0.8611,0.3587,2.780154,2.418558,0.3101,0.6598,0.8712,0.7509,0.3616,-0.0248,1.3e-03,174.7
138,2.807599,2.445602,0.2993,0.8798,0.8390,0.8589,0.3620,2.779146,2.417464,0.3103,0.6294,0.8898,0.7373,0.3617,-0.0285,1.3e-03,173.6
139,2.807923,2.444271,0.2996,0.8762,0.8385,0.8569,0.3637,2.786375,2.422757,0.3096,0.6917,0.8527,0.7638,0.3636,-0.0215,1.3e-03,173.6
140,2.807750,2.441376,0.3000,0.8826,0.8419,0.8618,0.3664,2.756799,2.414626,0.3104,0.6948,0.8541,0.7663,0.3422,-0.0510,1.3e-03,173.6
141,2.790883,2.438968,0.3005,0.8766,0.8384,0.8570,0.3519,2.752739,2.414790,0.3107,0.7140,0.8356,0.7701,0.3379,-0.0381,1.2e-03,174.7
142,2.781914,2.437847,0.3009,0.8811,0.8396,0.8598,0.3441,2.751953,2.419856,0.3106,0.6160,0.8951,0.7298,0.3321,-0.0300,1.2e-03,173.6
143,2.767110,2.433405,0.3016,0.8791,0.8439,0.8612,0.3337,2.747879,2.416133,0.3113,0.6429,0.8844,0.7446,0.3317,-0.0192,1.2e-03,173.4
144,2.762553,2.432540,0.3016,0.8799,0.8462,0.8627,0.3300,2.735832,2.409113,0.3114,0.6867,0.8683,0.7669,0.3267,-0.0267,1.2e-03,173.2
145,2.767810,2.431640,0.3018,0.8794,0.8402,0.8594,0.3362,2.743739,2.415901,0.3113,0.6551,0.8785,0.7506,0.3278,-0.0241,1.1e-03,173.5
146,2.775154,2.433217,0.3016,0.8778,0.8387,0.8578,0.3419,2.743271,2.411746,0.3108,0.7191,0.8341,0.7724,0.3315,-0.0319,1.1e-03,174.2
147,2.756972,2.427412,0.3028,0.8822,0.8465,0.8640,0.3296,2.742156,2.409003,0.3124,0.6374,0.8883,0.7422,0.3332,-0.0148,1.1e-03,173.0
148,2.754160,2.425166,0.3031,0.8858,0.8494,0.8672,0.3290,2.739037,2.410418,0.3118,0.6167,0.8995,0.7317,0.3286,-0.0151,1.1e-03,173.0
